"seed","ari","nmi","n_vertices","n_communities"
533,0.0154249822427898,0.0421005529671316,171,14
534,0.0127680027564703,0.0248939108347964,167,13
535,0.0155840747479235,0.0334278325812787,152,14
536,0.00536953563349884,0.0207459988603727,159,14
537,0.0287983601640774,0.0378198886291456,155,14
538,0.00815560996112066,0.0191611946986318,143,12
539,0.0261183346071179,0.0343720275468999,158,13
540,0.0115696142036639,0.0410642500508454,161,12
541,0.030011570414521,0.0489359788681557,150,14
542,0.0233704920232018,0.0405161119276646,162,14
543,0.0130350411197279,0.0453426710066337,150,14
544,0.023888659803081,0.038592568593884,154,15
545,0.0233950398074487,0.0403339023873066,157,13
546,0.0185421905330973,0.0381921938897282,150,13
547,0.0152928529210344,0.0335799185903438,169,13
548,0.0354983780550316,0.0441030674816272,159,13
549,0.0468799296846266,0.0512831049751411,163,12
550,0.0215404976791413,0.0450772225879987,161,14
551,0.00858570507332928,0.0260416080711545,152,15
552,0.0288246989656268,0.0520467358641316,152,13
553,0.0170905557541009,0.0375979831243336,142,12
554,0.0705725674795962,0.0709430481197291,158,14
555,0.0256023366203289,0.0486806616702455,168,13
556,0.0184342111015009,0.0352812081611993,159,14
557,0.0277363845046983,0.0390043764030255,161,13
558,0.0250513337892135,0.0384784426515572,159,14
559,0.0330102996273049,0.0396463747661174,146,13
560,0.0261437967289884,0.0365883104132707,163,13
561,0.0327959985691523,0.0422770958470128,149,13
562,0.0288587723830164,0.0408418723178701,167,12
563,0.0375549295922735,0.0543525953643509,156,13
564,0.0175032550369167,0.0437652344181173,156,13
565,0.0108399230336956,0.0208422651087808,153,15
566,0.0212547199259339,0.0499608670823212,163,13
567,0.0180398208331412,0.0346592008379361,152,12
568,0.0161747456203365,0.0290361533911687,151,14
569,0.0330169065625493,0.0567492356085447,163,15
570,0.0370648317037226,0.0519241738426006,165,13
571,0.0194342823037488,0.0406938754267152,162,12
572,0.02395945586673,0.0418733777957102,153,13
573,0.031648703129046,0.0391522270539216,146,15
574,0.018110209580904,0.0310606426128877,151,14
575,0.0421726742144164,0.0604128241799708,154,14
576,0.0174069041002706,0.0300591735240648,153,13
577,0.0255954023499557,0.0361875116532008,160,13
578,0.0391942173344691,0.0484927561018956,159,13
579,0.0106873666287722,0.0181282656282217,157,12
580,0.0271108766954183,0.0481499632805888,155,15
581,0.0293619351545348,0.0448075727100083,157,14
582,0.0358146924625026,0.0569427334098335,157,13
583,0.0315974347301316,0.0388143740584942,148,12
